국가,광종,수입,항목,단위,2023 년,Unnamed: 6,위도,경도
가나,합계(MT),수입%,수입 실적,,0,,7.9465,-1.0232
가나,합계(MT),수입금액,수입 실적,,0,,7.9465,-1.0232
가나,합계(MT),수입물량,수입 실적,,0,,7.9465,-1.0232
가나,아  연  광(MT),수입%,수입 실적,,0,,7.9465,-1.0232
가나,아  연  광(MT),수입금액,수입 실적,,0,,7.9465,-1.0232
가나,아  연  광(MT),수입물량,수입 실적,,0,,7.9465,-1.0232
가나,유      황(MT),수입%,수입 실적,,0,,7.9465,-1.0232
가나,유      황(MT),수입금액,수입 실적,,0,,7.9465,-1.0232
가나,유      황(MT),수입물량,수입 실적,,0,,7.9465,-1.0232
가나,기타비금속(MT),수입%,수입 실적,,0,,7.9465,-1.0232
가나,기타비금속(MT),수입금액,수입 실적,,0,,7.9465,-1.0232
가나,기타비금속(MT),수입물량,수입 실적,,0,,7.9465,-1.0232
가봉,합계(MT),수입%,수입 실적,,3,,-0.8037,11.6094
가봉,합계(MT),수입금액,수입 실적,,4430,,-0.8037,11.6094
가봉,합계(MT),수입물량,수입 실적,,20562,,-0.8037,11.6094
가봉,망  간  광(MT),수입%,수입 실적,,3,,-0.8037,11.6094
가봉,망  간  광(MT),수입금액,수입 실적,,4430,,-0.8037,11.6094
가봉,망  간  광(MT),수입물량,수입 실적,,20562,,-0.8037,11.6094
과테말라,합계(MT),수입%,수입 실적,,6,,15.7835,-90.2308
과테말라,합계(MT),수입금액,수입 실적,,19587,,15.7835,-90.2308
과테말라,합계(MT),수입물량,수입 실적,,167381,,15.7835,-90.2308
과테말라,니      켈(MT),수입%,수입 실적,,6,,15.7835,-90.2308
과테말라,니      켈(MT),수입금액,수입 실적,,19587,,15.7835,-90.2308
과테말라,니      켈(MT),수입물량,수입 실적,,167381,,15.7835,-90.2308
과테말라,유      황(MT),수입%,수입 실적,,0,,15.7835,-90.2308
과테말라,유      황(MT),수입금액,수입 실적,,0,,15.7835,-90.2308
과테말라,유      황(MT),수입물량,수입 실적,,0,,15.7835,-90.2308
괌,석 재(MT),수입%,수입 실적,,0,,13.4443,144.7937
괌,석 재(MT),수입금액,수입 실적,,0,,13.4443,144.7937
괌,석 재(MT),수입물량,수입 실적,,0,,13.4443,144.7937
괌,합계(MT),수입%,수입 실적,,0,,13.4443,144.7937
괌,합계(MT),수입금액,수입 실적,,0,,13.4443,144.7937
괌,합계(MT),수입물량,수입 실적,,0,,13.4443,144.7937
그리스,석 재(MT),수입%,수입 실적,,0,,39.0742,21.8243
그리스,석 재(MT),수입금액,수입 실적,,2212,,39.0742,21.8243
그리스,석 재(MT),수입물량,수입 실적,,1769,,39.0742,21.8243
그리스,합계(MT),수입%,수입 실적,,3,,39.0742,21.8243
그리스,합계(MT),수입금액,수입 실적,,10452,,39.0742,21.8243
그리스,합계(MT),수입물량,수입 실적,,8233,,39.0742,21.8243
그리스,연      광(MT),수입%,수입 실적,,0,,39.0742,21.8243
그리스,연      광(MT),수입금액,수입 실적,,6606,,39.0742,21.8243
그리스,연      광(MT),수입물량,수입 실적,,2581,,39.0742,21.8243
그리스,고  령  토(MT),수입%,수입 실적,,1,,39.0742,21.8243
그리스,고  령  토(MT),수입금액,수입 실적,,605,,39.0742,21.8243
그리스,고  령  토(MT),수입물량,수입 실적,,2400,,39.0742,21.8243
그리스,석  회  석(MT),수입%,수입 실적,,1,,39.0742,21.8243
그리스,석  회  석(MT),수입금액,수입 실적,,448,,39.0742,21.8243
그리스,석  회  석(MT),수입물량,수입 실적,,953,,39.0742,21.8243
그리스,운      모(MT),수입%,수입 실적,,0,,39.0742,21.8243
그리스,운      모(MT),수입금액,수입 실적,,0,,39.0742,21.8243
그리스,운      모(MT),수입물량,수입 실적,,0,,39.0742,21.8243
그리스,마그네사이트(MT),수입%,수입 실적,,1,,39.0742,21.8243
그리스,마그네사이트(MT),수입금액,수입 실적,,581,,39.0742,21.8243
그리스,마그네사이트(MT),수입물량,수입 실적,,530,,39.0742,21.8243
기니,석 재(MT),수입%,수입 실적,,0,,9.9456,-9.6966
기니,석 재(MT),수입금액,수입 실적,,1,,9.9456,-9.6966
기니,석 재(MT),수입물량,수입 실적,,0,,9.9456,-9.6966
기니,합계(MT),수입%,수입 실적,,0,,9.9456,-9.6966
기니,합계(MT),수입금액,수입 실적,,1,,9.9456,-9.6966
기니,합계(MT),수입물량,수입 실적,,0,,9.9456,-9.6966
기타국,합계(MT),수입%,수입 실적,,0,,,
기타국,합계(MT),수입금액,수입 실적,,1,,,
기타국,합계(MT),수입물량,수입 실적,,0,,,
기타국,기타비금속(MT),수입%,수입 실적,,0,,,
기타국,기타비금속(MT),수입금액,수입 실적,,1,,,
기타국,기타비금속(MT),수입물량,수입 실적,,0,,,
나미비아,합계(MT),수입%,수입 실적,,2,,-22.9576,18.4904
나미비아,합계(MT),수입금액,수입 실적,,115920,,-22.9576,18.4904
나미비아,합계(MT),수입물량,수입 실적,,34223,,-22.9576,18.4904
나미비아,동      광(MT),수입%,수입 실적,,2,,-22.9576,18.4904
나미비아,동      광(MT),수입금액,수입 실적,,115920,,-22.9576,18.4904
나미비아,동      광(MT),수입물량,수입 실적,,34223,,-22.9576,18.4904
나우루,합계(MT),수입%,수입 실적,,17,,-0.5228,166.9315
나우루,합계(MT),수입금액,수입 실적,,16814,,-0.5228,166.9315
나우루,합계(MT),수입물량,수입 실적,,98775,,-0.5228,166.9315
나우루,인  광  석(MT),수입%,수입 실적,,17,,-0.5228,166.9315
나우루,인  광  석(MT),수입금액,수입 실적,,16814,,-0.5228,166.9315
나우루,인  광  석(MT),수입물량,수입 실적,,98775,,-0.5228,166.9315
나이지리아,석 재(MT),수입%,수입 실적,,0,,9.082,8.6753
나이지리아,석 재(MT),수입금액,수입 실적,,0,,9.082,8.6753
나이지리아,석 재(MT),수입물량,수입 실적,,0,,9.082,8.6753
나이지리아,합계(MT),수입%,수입 실적,,49,,9.082,8.6753
나이지리아,합계(MT),수입금액,수입 실적,,9,,9.082,8.6753
나이지리아,합계(MT),수입물량,수입 실적,,1,,9.082,8.6753
나이지리아,주  석  광(MT),수입%,수입 실적,,0,,9.082,8.6753
나이지리아,주  석  광(MT),수입금액,수입 실적,,0,,9.082,8.6753
나이지리아,주  석  광(MT),수입물량,수입 실적,,0,,9.082,8.6753
나이지리아,백  금  광(Kg),수입%,수입 실적,,0,,9.082,8.6753
나이지리아,백  금  광(Kg),수입금액,수입 실적,,0,,9.082,8.6753
나이지리아,백  금  광(Kg),수입물량,수입 실적,,0,,9.082,8.6753
나이지리아,기타  금속(MT),수입%,수입 실적,,49,,9.082,8.6753
