"광종(1)","광종(2)","매출규모별(1)","2021"
"일반광합계","소계","5천미만","145"
"일반광합계","소계","5천~1억","25"
"일반광합계","소계","1억~10억","63"
"일반광합계","소계","10억~50억","52"
"일반광합계","소계","50억~100억","18"
"일반광합계","소계","100억이상","22"
"일반광합계","소계","합계","325"
"금속광","금속광소계","5천미만","12"
"금속광","금속광소계","5천~1억","1"
"금속광","금속광소계","1억~10억","0"
"금속광","금속광소계","10억~50억","1"
"금속광","금속광소계","50억~100억","2"
"금속광","금속광소계","100억이상","4"
"금속광","금속광소계","합계","20"
"금속광","금.은.동","5천미만","7"
"금속광","금.은.동","5천~1억","1"
"금속광","금.은.동","1억~10억","0"
"금속광","금.은.동","10억~50억","1"
"금속광","금.은.동","50억~100억","1"
"금속광","금.은.동","100억이상","0"
"금속광","금.은.동","합계","10"
"금속광","연.아연","5천미만","1"
"금속광","연.아연","5천~1억","0"
"금속광","연.아연","1억~10억","0"
"금속광","연.아연","10억~50억","0"
"금속광","연.아연","50억~100억","0"
"금속광","연.아연","100억이상","1"
"금속광","연.아연","합계","2"
"금속광","철 광","5천미만","0"
"금속광","철 광","5천~1억","0"
"금속광","철 광","1억~10억","0"
"금속광","철 광","10억~50억","0"
"금속광","철 광","50억~100억","1"
"금속광","철 광","100억이상","1"
"금속광","철 광","합계","2"
"금속광","중석","5천미만","1"
"금속광","중석","5천~1억","0"
"금속광","중석","1억~10억","0"
"금속광","중석","10억~50억","0"
"금속광","중석","50억~100억","0"
"금속광","중석","100억이상","0"
"금속광","중석","합계","1"
"금속광","모리브덴","5천미만","0"
"금속광","모리브덴","5천~1억","0"
"금속광","모리브덴","1억~10억","0"
"금속광","모리브덴","10억~50억","0"
"금속광","모리브덴","50억~100억","0"
"금속광","모리브덴","100억이상","1"
"금속광","모리브덴","합계","1"
"금속광","티탄철","5천미만","0"
"금속광","티탄철","5천~1억","0"
"금속광","티탄철","1억~10억","0"
"금속광","티탄철","10억~50억","0"
"금속광","티탄철","50억~100억","0"
"금속광","티탄철","100억이상","1"
"금속광","티탄철","합계","1"
"금속광","기타금속","5천미만","3"
"금속광","기타금속","5천~1억","0"
"금속광","기타금속","1억~10억","0"
"금속광","기타금속","10억~50억","0"
"금속광","기타금속","50억~100억","0"
"금속광","기타금속","100억이상","0"
"금속광","기타금속","합계","3"
"비금속광","비금속광소계","5천미만","133"
"비금속광","비금속광소계","5천~1억","24"
"비금속광","비금속광소계","1억~10억","63"
"비금속광","비금속광소계","10억~50억","51"
"비금속광","비금속광소계","50억~100억","15"
"비금속광","비금속광소계","100억이상","15"
"비금속광","비금속광소계","합계","301"
"비금속광","활석","5천미만","5"
"비금속광","활석","5천~1억","0"
"비금속광","활석","1억~10억","0"
"비금속광","활석","10억~50억","0"
"비금속광","활석","50억~100억","0"
"비금속광","활석","100억이상","0"
"비금속광","활석","합계","5"
"비금속광","납석","5천미만","8"
"비금속광","납석","5천~1억","2"
"비금속광","납석","1억~10억","8"
"비금속광","납석","10억~50억","3"
"비금속광","납석","50억~100억","0"
"비금속광","납석","100억이상","0"
"비금속광","납석","합계","21"
"비금속광","장석","5천미만","14"
"비금속광","장석","5천~1억","1"
"비금속광","장석","1억~10억","5"
"비금속광","장석","10억~50억","1"
"비금속광","장석","50억~100억","1"
"비금속광","장석","100억이상","0"
"비금속광","장석","합계","22"
"비금속광","고령토","5천미만","43"
"비금속광","고령토","5천~1억","13"
"비금속광","고령토","1억~10억","22"
"비금속광","고령토","10억~50억","0"
"비금속광","고령토","50억~100억","0"
"비금속광","고령토","100억이상","0"
"비금속광","고령토","합계","78"
"비금속광","석회석","5천미만","30"
"비금속광","석회석","5천~1억","3"
"비금속광","석회석","1억~10억","13"
"비금속광","석회석","10억~50억","31"
"비금속광","석회석","50억~100억","12"
"비금속광","석회석","100억이상","15"
"비금속광","석회석","합계","104"
"비금속광","규석","5천미만","8"
"비금속광","규석","5천~1억","0"
"비금속광","규석","1억~10억","3"
"비금속광","규석","10억~50억","11"
"비금속광","규석","50억~100억","1"
"비금속광","규석","100억이상","0"
"비금속광","규석","합계","23"
"비금속광","규사","5천미만","2"
"비금속광","규사","5천~1억","0"
"비금속광","규사","1억~10억","7"
"비금속광","규사","10억~50억","3"
