"국가","광종","수입","항목","단위","2023 년",
"가나","합계(MT)","수입%","수입 실적","","0",
"가나","합계(MT)","수입금액","수입 실적","","0",
"가나","합계(MT)","수입물량","수입 실적","","0",
"가나","아  연  광(MT)","수입%","수입 실적","","0",
"가나","아  연  광(MT)","수입금액","수입 실적","","0",
"가나","아  연  광(MT)","수입물량","수입 실적","","0",
"가나","유      황(MT)","수입%","수입 실적","","0",
"가나","유      황(MT)","수입금액","수입 실적","","0",
"가나","유      황(MT)","수입물량","수입 실적","","0",
"가나","기타비금속(MT)","수입%","수입 실적","","0",
"가나","기타비금속(MT)","수입금액","수입 실적","","0",
"가나","기타비금속(MT)","수입물량","수입 실적","","0",
"가봉","합계(MT)","수입%","수입 실적","","3",
"가봉","합계(MT)","수입금액","수입 실적","","4430",
"가봉","합계(MT)","수입물량","수입 실적","","20562",
"가봉","망  간  광(MT)","수입%","수입 실적","","3",
"가봉","망  간  광(MT)","수입금액","수입 실적","","4430",
"가봉","망  간  광(MT)","수입물량","수입 실적","","20562",
"과테말라","합계(MT)","수입%","수입 실적","","6",
"과테말라","합계(MT)","수입금액","수입 실적","","19587",
"과테말라","합계(MT)","수입물량","수입 실적","","167381",
"과테말라","니      켈(MT)","수입%","수입 실적","","6",
"과테말라","니      켈(MT)","수입금액","수입 실적","","19587",
"과테말라","니      켈(MT)","수입물량","수입 실적","","167381",
"과테말라","유      황(MT)","수입%","수입 실적","","0",
"과테말라","유      황(MT)","수입금액","수입 실적","","0",
"과테말라","유      황(MT)","수입물량","수입 실적","","0",
"괌","석 재(MT)","수입%","수입 실적","","0",
"괌","석 재(MT)","수입금액","수입 실적","","0",
"괌","석 재(MT)","수입물량","수입 실적","","0",
"괌","합계(MT)","수입%","수입 실적","","0",
"괌","합계(MT)","수입금액","수입 실적","","0",
"괌","합계(MT)","수입물량","수입 실적","","0",
"그리스","석 재(MT)","수입%","수입 실적","","0",
"그리스","석 재(MT)","수입금액","수입 실적","","2212",
"그리스","석 재(MT)","수입물량","수입 실적","","1769",
"그리스","합계(MT)","수입%","수입 실적","","3",
"그리스","합계(MT)","수입금액","수입 실적","","10452",
"그리스","합계(MT)","수입물량","수입 실적","","8233",
"그리스","연      광(MT)","수입%","수입 실적","","0",
"그리스","연      광(MT)","수입금액","수입 실적","","6606",
"그리스","연      광(MT)","수입물량","수입 실적","","2581",
"그리스","고  령  토(MT)","수입%","수입 실적","","1",
"그리스","고  령  토(MT)","수입금액","수입 실적","","605",
"그리스","고  령  토(MT)","수입물량","수입 실적","","2400",
"그리스","석  회  석(MT)","수입%","수입 실적","","1",
"그리스","석  회  석(MT)","수입금액","수입 실적","","448",
"그리스","석  회  석(MT)","수입물량","수입 실적","","953",
"그리스","운      모(MT)","수입%","수입 실적","","0",
"그리스","운      모(MT)","수입금액","수입 실적","","0",
"그리스","운      모(MT)","수입물량","수입 실적","","0",
"그리스","마그네사이트(MT)","수입%","수입 실적","","1",
"그리스","마그네사이트(MT)","수입금액","수입 실적","","581",
"그리스","마그네사이트(MT)","수입물량","수입 실적","","530",
"기니","석 재(MT)","수입%","수입 실적","","0",
"기니","석 재(MT)","수입금액","수입 실적","","1",
"기니","석 재(MT)","수입물량","수입 실적","","0",
"기니","합계(MT)","수입%","수입 실적","","0",
"기니","합계(MT)","수입금액","수입 실적","","1",
"기니","합계(MT)","수입물량","수입 실적","","0",
"기타국","합계(MT)","수입%","수입 실적","","0",
"기타국","합계(MT)","수입금액","수입 실적","","1",
"기타국","합계(MT)","수입물량","수입 실적","","0",
"기타국","기타비금속(MT)","수입%","수입 실적","","0",
"기타국","기타비금속(MT)","수입금액","수입 실적","","1",
"기타국","기타비금속(MT)","수입물량","수입 실적","","0",
"나미비아","합계(MT)","수입%","수입 실적","","2",
"나미비아","합계(MT)","수입금액","수입 실적","","115920",
"나미비아","합계(MT)","수입물량","수입 실적","","34223",
"나미비아","동      광(MT)","수입%","수입 실적","","2",
"나미비아","동      광(MT)","수입금액","수입 실적","","115920",
"나미비아","동      광(MT)","수입물량","수입 실적","","34223",
"나우루","합계(MT)","수입%","수입 실적","","17",
"나우루","합계(MT)","수입금액","수입 실적","","16814",
"나우루","합계(MT)","수입물량","수입 실적","","98775",
"나우루","인  광  석(MT)","수입%","수입 실적","","17",
"나우루","인  광  석(MT)","수입금액","수입 실적","","16814",
"나우루","인  광  석(MT)","수입물량","수입 실적","","98775",
"나이지리아","석 재(MT)","수입%","수입 실적","","0",
"나이지리아","석 재(MT)","수입금액","수입 실적","","0",
"나이지리아","석 재(MT)","수입물량","수입 실적","","0",
"나이지리아","합계(MT)","수입%","수입 실적","","49",
"나이지리아","합계(MT)","수입금액","수입 실적","","9",
"나이지리아","합계(MT)","수입물량","수입 실적","","1",
"나이지리아","주  석  광(MT)","수입%","수입 실적","","0",
"나이지리아","주  석  광(MT)","수입금액","수입 실적","","0",
"나이지리아","주  석  광(MT)","수입물량","수입 실적","","0",
"나이지리아","백  금  광(Kg)","수입%","수입 실적","","0",
"나이지리아","백  금  광(Kg)","수입금액","수입 실적","","0",
"나이지리아","백  금  광(Kg)","수입물량","수입 실적","","0",
"나이지리아","기타  금속(MT)","수입%","수입 실적","","49",
"나이지리아","기타  금속(MT)","수입금액","수입 실적","","9",
"나이지리아","기타  금속(MT)","수입물량","수입 실적","","1",
"나이지리아","토상  흑연(MT)","수입%","수입 실적","","0",
"나이지리아","토상  흑연(MT)","수입금액","수입 실적","","0",
"나이지리아","토상  흑연(MT)","수입물량","수입 실적","","0",
"나이지리아","운      모(MT)","수입%","수입 실적","","0",
"나이지리아","운      모(MT)","수입금액","수입 실적","","0",
"나이지리아","운      모(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","합계(MT)","수입%","수입 실적","","234",
"남아프리카공화국","합계(MT)","수입금액","수입 실적","","2065600",
"남아프리카공화국","합계(MT)","수입물량","수입 실적","","11690286",
"남아프리카공화국","동      광(MT)","수입%","수입 실적","","2",
"남아프리카공화국","동      광(MT)","수입금액","수입 실적","","116337",
"남아프리카공화국","동      광(MT)","수입물량","수입 실적","","31074",
"남아프리카공화국","연      광(MT)","수입%","수입 실적","","5",
"남아프리카공화국","연      광(MT)","수입금액","수입 실적","","68957",
"남아프리카공화국","연      광(MT)","수입물량","수입 실적","","41221",
"남아프리카공화국","아  연  광(MT)","수입%","수입 실적","","0",
"남아프리카공화국","아  연  광(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","아  연  광(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","철      광(MT)","수입%","수입 실적","","8",
"남아프리카공화국","철      광(MT)","수입금액","수입 실적","","633030",
"남아프리카공화국","철      광(MT)","수입물량","수입 실적","","4809732",
"남아프리카공화국","몰리브덴광(MT)","수입%","수입 실적","","0",
"남아프리카공화국","몰리브덴광(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","몰리브덴광(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","망  간  광(MT)","수입%","수입 실적","","52",
"남아프리카공화국","망  간  광(MT)","수입금액","수입 실적","","82737",
"남아프리카공화국","망  간  광(MT)","수입물량","수입 실적","","442129",
"남아프리카공화국","주  석  광(MT)","수입%","수입 실적","","0",
"남아프리카공화국","주  석  광(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","주  석  광(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","유  화  철(MT)","수입%","수입 실적","","1",
"남아프리카공화국","유  화  철(MT)","수입금액","수입 실적","","5",
"남아프리카공화국","유  화  철(MT)","수입물량","수입 실적","","10",
"남아프리카공화국","니      켈(MT)","수입%","수입 실적","","0",
"남아프리카공화국","니      켈(MT)","수입금액","수입 실적","","148",
"남아프리카공화국","니      켈(MT)","수입물량","수입 실적","","5",
"남아프리카공화국","크  롬  광(MT)","수입%","수입 실적","","6",
"남아프리카공화국","크  롬  광(MT)","수입금액","수입 실적","","110",
"남아프리카공화국","크  롬  광(MT)","수입물량","수입 실적","","142",
"남아프리카공화국","티 타 늄광(MT)","수입%","수입 실적","","5",
"남아프리카공화국","티 타 늄광(MT)","수입금액","수입 실적","","2512",
"남아프리카공화국","티 타 늄광(MT)","수입물량","수입 실적","","1240",
"남아프리카공화국","질 코 늄광(MT)","수입%","수입 실적","","62",
"남아프리카공화국","질 코 늄광(MT)","수입금액","수입 실적","","5746",
"남아프리카공화국","질 코 늄광(MT)","수입물량","수입 실적","","2660",
"남아프리카공화국","기타  금속(MT)","수입%","수입 실적","","2",
"남아프리카공화국","기타  금속(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","기타  금속(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","활      석(MT)","수입%","수입 실적","","0",
"남아프리카공화국","활      석(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","활      석(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","고  령  토(MT)","수입%","수입 실적","","0",
"남아프리카공화국","고  령  토(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","고  령  토(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","규      석(MT)","수입%","수입 실적","","0",
"남아프리카공화국","규      석(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","규      석(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","규  조  토(MT)","수입%","수입 실적","","0",
"남아프리카공화국","규  조  토(MT)","수입금액","수입 실적","","1",
"남아프리카공화국","규  조  토(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","형      석(MT)","수입%","수입 실적","","0",
"남아프리카공화국","형      석(MT)","수입금액","수입 실적","","8",
"남아프리카공화국","형      석(MT)","수입물량","수입 실적","","20",
"남아프리카공화국","인  광  석(MT)","수입%","수입 실적","","16",
"남아프리카공화국","인  광  석(MT)","수입금액","수입 실적","","16010",
"남아프리카공화국","인  광  석(MT)","수입물량","수입 실적","","96866",
"남아프리카공화국","유      황(MT)","수입%","수입 실적","","0",
"남아프리카공화국","유      황(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","유      황(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","운      모(MT)","수입%","수입 실적","","1",
"남아프리카공화국","운      모(MT)","수입금액","수입 실적","","333",
"남아프리카공화국","운      모(MT)","수입물량","수입 실적","","654",
"남아프리카공화국","홍  주  석(MT)","수입%","수입 실적","","43",
"남아프리카공화국","홍  주  석(MT)","수입금액","수입 실적","","1654",
"남아프리카공화국","홍  주  석(MT)","수입물량","수입 실적","","2530",
"남아프리카공화국","남  정  석(MT)","수입%","수입 실적","","18",
"남아프리카공화국","남  정  석(MT)","수입금액","수입 실적","","329",
"남아프리카공화국","남  정  석(MT)","수입물량","수입 실적","","588",
"남아프리카공화국","석      고(MT)","수입%","수입 실적","","0",
"남아프리카공화국","석      고(MT)","수입금액","수입 실적","","0",
"남아프리카공화국","석      고(MT)","수입물량","수입 실적","","0",
"남아프리카공화국","금  강  석(Kg)","수입%","수입 실적","","0",
"남아프리카공화국","금  강  석(Kg)","수입금액","수입 실적","","101",
"남아프리카공화국","금  강  석(Kg)","수입물량","수입 실적","","5",
"남아프리카공화국","기타비금속(MT)","수입%","수입 실적","","8",
"남아프리카공화국","기타비금속(MT)","수입금액","수입 실적","","7007",
"남아프리카공화국","기타비금속(MT)","수입물량","수입 실적","","17318",
"남아프리카공화국","유  연  탄(MT)","수입%","수입 실적","","6",
"남아프리카공화국","유  연  탄(MT)","수입금액","수입 실적","","1130574",
"남아프리카공화국","유  연  탄(MT)","수입물량","수입 실적","","6244097",
"남아프리카공화국","기타  석탄(MT)","수입%","수입 실적","","0",
"남아프리카공화국","기타  석탄(MT)","수입금액","수입 실적","","1",
"남아프리카공화국","기타  석탄(MT)","수입물량","수입 실적","","0",
"네덜란드","석 재(MT)","수입%","수입 실적","","0",
"네덜란드","석 재(MT)","수입금액","수입 실적","","4",
"네덜란드","석 재(MT)","수입물량","수입 실적","","0",
"네덜란드","합계(MT)","수입%","수입 실적","","15",
"네덜란드","합계(MT)","수입금액","수입 실적","","5438",
"네덜란드","합계(MT)","수입물량","수입 실적","","8177",
"네덜란드","동      광(MT)","수입%","수입 실적","","0",
"네덜란드","동      광(MT)","수입금액","수입 실적","","0",
"네덜란드","동      광(MT)","수입물량","수입 실적","","0",
"네덜란드","아  연  광(MT)","수입%","수입 실적","","0",
"네덜란드","아  연  광(MT)","수입금액","수입 실적","","0",
"네덜란드","아  연  광(MT)","수입물량","수입 실적","","0",
"네덜란드","철      광(MT)","수입%","수입 실적","","0",
"네덜란드","철      광(MT)","수입금액","수입 실적","","34",
"네덜란드","철      광(MT)","수입물량","수입 실적","","80",
"네덜란드","몰리브덴광(MT)","수입%","수입 실적","","0",
"네덜란드","몰리브덴광(MT)","수입금액","수입 실적","","2683",
"네덜란드","몰리브덴광(MT)","수입물량","수입 실적","","62",
"네덜란드","망  간  광(MT)","수입%","수입 실적","","0",
"네덜란드","망  간  광(MT)","수입금액","수입 실적","","37",
"네덜란드","망  간  광(MT)","수입물량","수입 실적","","40",
"네덜란드","니      켈(MT)","수입%","수입 실적","","0",
"네덜란드","니      켈(MT)","수입금액","수입 실적","","0",
"네덜란드","니      켈(MT)","수입물량","수입 실적","","0",
"네덜란드","티 타 늄광(MT)","수입%","수입 실적","","0",
"네덜란드","티 타 늄광(MT)","수입금액","수입 실적","","0",
"네덜란드","티 타 늄광(MT)","수입물량","수입 실적","","0",
"네덜란드","토상  흑연(MT)","수입%","수입 실적","","0",
"네덜란드","토상  흑연(MT)","수입금액","수입 실적","","0",
"네덜란드","토상  흑연(MT)","수입물량","수입 실적","","0",
"네덜란드","활      석(MT)","수입%","수입 실적","","0",
"네덜란드","활      석(MT)","수입금액","수입 실적","","145",
"네덜란드","활      석(MT)","수입물량","수입 실적","","152",
"네덜란드","고  령  토(MT)","수입%","수입 실적","","0",
"네덜란드","고  령  토(MT)","수입금액","수입 실적","","4",
"네덜란드","고  령  토(MT)","수입물량","수입 실적","","3",
"네덜란드","규      석(MT)","수입%","수입 실적","","2",
"네덜란드","규      석(MT)","수입금액","수입 실적","","389",
"네덜란드","규      석(MT)","수입물량","수입 실적","","1504",
"네덜란드","규      사(MT)","수입%","수입 실적","","0",
"네덜란드","규      사(MT)","수입금액","수입 실적","","182",
"네덜란드","규      사(MT)","수입물량","수입 실적","","619",
"네덜란드","규  조  토(MT)","수입%","수입 실적","","0",
"네덜란드","규  조  토(MT)","수입금액","수입 실적","","1",
"네덜란드","규  조  토(MT)","수입물량","수입 실적","","0",
"네덜란드","형      석(MT)","수입%","수입 실적","","0",
"네덜란드","형      석(MT)","수입금액","수입 실적","","1",
"네덜란드","형      석(MT)","수입물량","수입 실적","","0",
"네덜란드","유      황(MT)","수입%","수입 실적","","0",
"네덜란드","유      황(MT)","수입금액","수입 실적","","5",
"네덜란드","유      황(MT)","수입물량","수입 실적","","2",
"네덜란드","규  회  석(MT)","수입%","수입 실적","","3",
"네덜란드","규  회  석(MT)","수입금액","수입 실적","","159",
"네덜란드","규  회  석(MT)","수입물량","수입 실적","","160",
"네덜란드","마그네사이트(MT)","수입%","수입 실적","","0",
