"광종","규격","지역별","2023. 12"
"금","Au 99.9% ","경기","0"
"금","Au 99.9% ","강원","0"
"금","Au 99.9% ","충북","0"
"금","Au 99.9% ","충남","0"
"금","Au 99.9% ","전북","0"
"금","Au 99.9% ","전남","0"
"금","Au 99.9% ","경북","0"
"금","Au 99.9% ","경남","0"
"금","Au 99.9% ","기타","0"
"금","Au 99.9% ","합계","0"
"은","Ag 99.9% ","경기","0"
"은","Ag 99.9% ","강원","0"
"은","Ag 99.9% ","충북","0"
"은","Ag 99.9% ","충남","0"
"은","Ag 99.9% ","전북","0"
"은","Ag 99.9% ","전남","0"
"은","Ag 99.9% ","경북","8"
"은","Ag 99.9% ","경남","0"
"은","Ag 99.9% ","기타","0"
"은","Ag 99.9% ","합계","8"
"동","Cu 25-29%","경기","0"
"동","Cu 25-29%","강원","0"
"동","Cu 25-29%","충북","0"
"동","Cu 25-29%","충남","0"
"동","Cu 25-29%","전북","0"
"동","Cu 25-29%","전남","0"
"동","Cu 25-29%","경북","0"
"동","Cu 25-29%","경남","0"
"동","Cu 25-29%","기타","0"
"동","Cu 25-29%","합계","0"
"연","Pb 50%   ","경기","0"
"연","Pb 50%   ","강원","0"
"연","Pb 50%   ","충북","0"
"연","Pb 50%   ","충남","0"
"연","Pb 50%   ","전북","0"
"연","Pb 50%   ","전남","0"
"연","Pb 50%   ","경북","194"
"연","Pb 50%   ","경남","6"
"연","Pb 50%   ","기타","0"
"연","Pb 50%   ","합계","199"
"아연","Zn 50%   ","경기","0"
"아연","Zn 50%   ","강원","0"
"아연","Zn 50%   ","충북","0"
"아연","Zn 50%   ","충남","0"
"아연","Zn 50%   ","전북","0"
"아연","Zn 50%   ","전남","0"
"아연","Zn 50%   ","경북","450"
"아연","Zn 50%   ","경남","8"
"아연","Zn 50%   ","기타","0"
"아연","Zn 50%   ","합계","458"
"철","Fe 56-65%","경기","0"
"철","Fe 56-65%","강원","45,058"
"철","Fe 56-65%","충북","0"
"철","Fe 56-65%","충남","0"
"철","Fe 56-65%","전북","0"
"철","Fe 56-65%","전남","0"
"철","Fe 56-65%","경북","0"
"철","Fe 56-65%","경남","0"
"철","Fe 56-65%","기타","0"
"철","Fe 56-65%","합계","45,058"
"중석","WO3 70%  ","경기","0"
"중석","WO3 70%  ","강원","0"
"중석","WO3 70%  ","충북","0"
"중석","WO3 70%  ","충남","0"
"중석","WO3 70%  ","전북","0"
"중석","WO3 70%  ","전남","0"
"중석","WO3 70%  ","경북","0"
"중석","WO3 70%  ","경남","0"
"중석","WO3 70%  ","기타","0"
"중석","WO3 70%  ","합계","0"
"모리브덴","MoS2 90% ","경기","0"
"모리브덴","MoS2 90% ","강원","0"
"모리브덴","MoS2 90% ","충북","28"
"모리브덴","MoS2 90% ","충남","0"
"모리브덴","MoS2 90% ","전북","0"
"모리브덴","MoS2 90% ","전남","0"
"모리브덴","MoS2 90% ","경북","0"
"모리브덴","MoS2 90% ","경남","0"
"모리브덴","MoS2 90% ","기타","0"
"모리브덴","MoS2 90% ","합계","28"
"티타늄","각급     ","경기","22,063"
"티타늄","각급     ","강원","0"
"티타늄","각급     ","충북","0"
"티타늄","각급     ","충남","0"
"티타늄","각급     ","전북","0"
"티타늄","각급     ","전남","0"
"티타늄","각급     ","경북","0"
"티타늄","각급     ","경남","0"
"티타늄","각급     ","기타","0"
"티타늄","각급     ","합계","22,063"
"무연탄","         ","경기","0"
"무연탄","         ","강원","47,752"
"무연탄","         ","충북","0"
"무연탄","         ","충남","0"
"무연탄","         ","전북","0"
"무연탄","         ","전남","0"
"무연탄","         ","경북","0"
"무연탄","         ","경남","0"
"무연탄","         ","기타","0"
